annee,annotation_basis,barème_suggéré,chapitre,competence,definition,exact_wording,explication,figure,id,importance,label,language,niveau,quality_notes,question,record_type,region,reponse_attendue,requires_teacher_review,roman,session,source_ids,source_status,split,synthetic,terme,texte,type_information,validation_status,vocabulary_scope
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-012,importante,Les habitants comme personnage collectif,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"Les habitants de Dar Chouafa forment un personnage collectif dont les échanges révèlent les solidarités, les croyances et les tensions du milieu.",personnage,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-013,essentielle,Dar Chouafa,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Dar Chouafa est la maison où Sidi Mohammed vit avec ses parents et plusieurs voisins.,lieu,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-014,importante,Le Msid,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Le Msid est l'école coranique fréquentée par le narrateur.,lieu,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-015,essentielle,Le bain maure,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"Le bain maure est un lieu que l'enfant trouve bruyant, chaud et inquiétant.",lieu,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-016,importante,L'impasse,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Dar Chouafa se situe au fond d'une impasse de la médina.,lieu,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-017,importante,Les étages de Dar Chouafa,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,La répartition des familles entre les étages organise la proximité quotidienne et favorise les rencontres entre voisines.,lieu,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-018,importante,La médina de Fès,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"La médina constitue un cadre urbain traditionnel où les lieux religieux, domestiques et commerciaux sont proches.",lieu,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-019,essentielle,Le hammam comme espace social,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"Pour les femmes, le bain maure est aussi un espace d'échange d'informations et de récits.",lieu,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-020,essentielle,L'espace privé de la boîte,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,La boîte à merveilles crée un espace intime qui protège l'enfant de l'agitation de la maison.,lieu,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-021,essentielle,Dar Chouafa comme microcosme,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"La maison fonctionne comme une représentation réduite de la société, avec ses hiérarchies, ses croyances et ses conflits.",lieu,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-022,importante,Symbolique des espaces fermés,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"L'impasse, la maison et le bain maure composent un univers fermé qui renforce le sentiment d'enfermement du narrateur.",lieu,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-023,essentielle,Contraste espace collectif et refuge intérieur,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Le récit oppose les espaces collectifs bruyants au refuge silencieux que l'enfant construit grâce à son imagination.,lieu,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-024,importante,Topographie de la mémoire,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Les lieux ne sont pas seulement décrits géographiquement : ils organisent les souvenirs et la progression du récit autobiographique.,lieu,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-025,essentielle,Retour aux souvenirs,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Le narrateur commence par évoquer sa solitude puis se souvient de son enfance.,evenement,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-026,importante,Présentation des habitants,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Le chapitre présente les personnes qui vivent à Dar Chouafa.,evenement,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-027,essentielle,Visite au bain maure,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Sidi Mohammed accompagne sa mère au bain maure et ressent de la peur.,evenement,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-028,importante,Dispute des voisines,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Lalla Zoubida et Rahma se disputent.,evenement,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-029,importante,Rituels de la Chouafa,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Les séances organisées par la Chouafa attirent l'attention de l'enfant et alimentent son imagination.,evenement,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-030,essentielle,Jeu avec la boîte,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,L'enfant contemple les petits objets de sa boîte pour retrouver le calme et échapper à la solitude.,evenement,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-031,importante,Routine du Msid,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,La fréquentation du Msid inscrit l'enfant dans une routine d'apprentissage et de discipline.,evenement,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-032,importante,Récit du hammam par la mère,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"Après le bain, Lalla Zoubida transforme les incidents vécus en anecdotes racontées à la maison.",evenement,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-033,essentielle,Passage du présent au passé,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"Le récit passe de l'insomnie du narrateur adulte à une longue évocation de l'enfance, ce qui fonde la structure rétrospective.",evenement,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-034,essentielle,Surcharge sensorielle au hammam,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"La chaleur, les voix et les mouvements du bain maure sont perçus par l'enfant comme une expérience sensorielle excessive.",evenement,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-035,importante,Fonction narrative de la dispute,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,La dispute entre les voisines dépasse l'anecdote et révèle les tensions produites par la vie dans un espace partagé.,evenement,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-036,essentielle,Installation des motifs du roman,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"Le premier chapitre met en place des motifs appelés à revenir : solitude, croyances, récits oraux et refuge imaginaire.",evenement,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-037,essentielle,La solitude,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Sidi Mohammed se sent seul même lorsqu'il vit entouré de sa famille et de ses voisins.,theme,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-038,essentielle,L'enfance,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Le chapitre raconte le monde tel qu'il est vu par un enfant.,theme,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-039,importante,La famille,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Les parents de Sidi Mohammed occupent une place importante dans ses souvenirs.,theme,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-040,essentielle,L'imagination,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,L'enfant utilise son imagination pour donner de la valeur à ses petits objets.,theme,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-041,importante,Les croyances populaires,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Les pratiques de la Chouafa montrent l'importance des croyances et des rituels dans le milieu décrit.,theme,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-042,importante,L'oralité féminine,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Les conversations et les anecdotes des femmes transmettent les nouvelles et organisent la vie sociale.,theme,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-043,essentielle,La vie communautaire,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"La proximité des familles crée des échanges permanents, mais aussi des conflits.",theme,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-044,importante,La peur,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Le bain maure est raconté à travers la peur et le malaise ressentis par l'enfant.,theme,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-045,essentielle,Mémoire et identité,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Le narrateur utilise ses souvenirs pour comprendre la personne qu'il est devenu.,theme,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-046,essentielle,Réel et imaginaire,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Le monde concret de la médina se mêle aux visions et aux interprétations imaginaires de l'enfant.,theme,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-047,essentielle,Subjectivité du récit,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Les événements sont filtrés par la sensibilité de l'enfant puis réorganisés par la conscience de l'adulte.,theme,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-048,importante,Tradition et environnement social,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"Les rites, le Msid et le hammam montrent comment la tradition structure la vie quotidienne et la perception de l'enfant.",theme,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-049,essentielle,La boîte comme consolation,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,La boîte à merveilles aide Sidi Mohammed à oublier sa tristesse.,idee_essentielle,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-050,essentielle,Cadre principal,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Dar Chouafa est le cadre principal du premier chapitre.,idee_essentielle,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-051,essentielle,Fonction d'introduction,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"Le chapitre présente la famille, les voisins et les lieux importants.",idee_essentielle,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-052,essentielle,Expérience négative du hammam,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,L'enfant ne vit pas le bain maure comme un moment agréable.,idee_essentielle,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-053,essentielle,Lien entre deux solitudes,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,La solitude de l'adulte rappelle celle qu'il éprouvait déjà pendant son enfance.,idee_essentielle,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-054,essentielle,Transformation des objets,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,L'imagination donne aux objets ordinaires de la boîte une valeur affective exceptionnelle.,idee_essentielle,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-055,importante,Rôle des récits entendus,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Les récits de la mère et des voisines enrichissent l'univers mental de l'enfant.,idee_essentielle,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-056,importante,Compréhension limitée de l'enfant,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"Sidi Mohammed observe les adultes avec attention, mais il ne comprend pas toujours les causes de leurs comportements.",idee_essentielle,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-057,essentielle,Double temporalité,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Le récit superpose le temps de l'enfance racontée et le temps de l'adulte qui se souvient.,idee_essentielle,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-058,essentielle,Construction autobiographique,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Le souvenir n'est pas une copie exacte du passé : il est sélectionné et organisé pour construire une identité narrative.,idee_essentielle,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-059,essentielle,Maison comme représentation sociale,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Dar Chouafa concentre dans un espace réduit les rapports sociaux et les pratiques culturelles du milieu.,idee_essentielle,revue_provisoire_assistant,
