profile_id,attempt_id,synthetic,generator_version,label_niveau,score_global,questions_repondues,bonnes_reponses,taux_reponse,score_comprehension,score_langue_grammaire,score_connaissance_oeuvres,score_figures_procedes,score_interpretation_justification,score_debutant,score_intermediaire,score_avance
debutant_0006,2,True,positioning_synthetic_v1,debutant,35,20,7,100,50,25,50,50,0,71,29,0
debutant_0006,3,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,25,0,50,57,14,0
debutant_0006,4,True,positioning_synthetic_v1,debutant,20,20,4,100,25,25,0,50,0,43,14,0
debutant_0007,1,True,positioning_synthetic_v1,debutant,20,20,4,100,25,25,0,25,25,43,0,17
debutant_0007,2,True,positioning_synthetic_v1,debutant,20,20,4,100,25,25,25,25,0,57,0,0
debutant_0007,3,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,0,50,25,29,29,17
debutant_0007,4,True,positioning_synthetic_v1,debutant,10,20,2,100,0,25,0,25,0,29,0,0
debutant_0008,1,True,positioning_synthetic_v1,debutant,30,20,6,100,25,25,0,75,25,43,29,17
debutant_0008,2,True,positioning_synthetic_v1,debutant,15,20,3,100,50,0,0,25,0,14,29,0
debutant_0008,3,True,positioning_synthetic_v1,debutant,35,20,7,100,25,25,50,50,25,43,43,17
debutant_0008,4,True,positioning_synthetic_v1,debutant,10,20,2,100,0,0,25,25,0,14,0,17
debutant_0009,1,True,positioning_synthetic_v1,debutant,25,20,5,100,25,50,0,0,50,43,29,0
debutant_0009,2,True,positioning_synthetic_v1,debutant,20,20,4,100,0,25,50,0,25,43,14,0
debutant_0009,3,True,positioning_synthetic_v1,debutant,30,20,6,100,25,50,25,50,0,14,43,33
debutant_0009,4,True,positioning_synthetic_v1,debutant,45,20,9,100,50,50,25,25,75,86,29,17
debutant_0010,1,True,positioning_synthetic_v1,debutant,5,20,1,100,25,0,0,0,0,14,0,0
debutant_0010,2,True,positioning_synthetic_v1,debutant,20,20,4,100,50,25,0,25,0,14,29,17
debutant_0010,3,True,positioning_synthetic_v1,debutant,10,20,2,100,0,25,25,0,0,29,0,0
debutant_0010,4,True,positioning_synthetic_v1,debutant,25,20,5,100,50,0,50,25,0,43,29,0
debutant_0011,1,True,positioning_synthetic_v1,debutant,25,20,5,100,50,25,25,25,0,43,29,0
debutant_0011,2,True,positioning_synthetic_v1,debutant,30,20,6,100,25,0,25,75,25,29,29,33
debutant_0011,3,True,positioning_synthetic_v1,debutant,20,20,4,100,50,0,50,0,0,14,29,17
debutant_0011,4,True,positioning_synthetic_v1,debutant,35,20,7,100,0,25,25,75,50,29,57,17
debutant_0012,1,True,positioning_synthetic_v1,debutant,30,20,6,100,0,50,25,50,25,57,14,17
debutant_0012,2,True,positioning_synthetic_v1,debutant,50,20,10,100,50,25,25,100,50,86,29,33
debutant_0012,3,True,positioning_synthetic_v1,debutant,10,20,2,100,0,0,25,0,25,29,0,0
debutant_0012,4,True,positioning_synthetic_v1,debutant,15,20,3,100,25,0,50,0,0,29,14,0
debutant_0013,1,True,positioning_synthetic_v1,debutant,35,20,7,100,25,25,75,0,50,57,29,17
debutant_0013,2,True,positioning_synthetic_v1,debutant,25,20,5,100,0,25,0,75,25,29,29,17
debutant_0013,3,True,positioning_synthetic_v1,debutant,0,20,0,100,0,0,0,0,0,0,0,0
debutant_0013,4,True,positioning_synthetic_v1,debutant,20,20,4,100,25,25,0,0,50,29,29,0
debutant_0014,1,True,positioning_synthetic_v1,debutant,25,20,5,100,0,25,50,0,50,43,0,33
debutant_0014,2,True,positioning_synthetic_v1,debutant,25,20,5,100,50,0,25,50,0,43,29,0
debutant_0014,3,True,positioning_synthetic_v1,debutant,20,20,4,100,0,50,0,25,25,43,0,17
debutant_0014,4,True,positioning_synthetic_v1,debutant,30,20,6,100,50,25,50,25,0,43,43,0
debutant_0015,1,True,positioning_synthetic_v1,debutant,55,20,11,100,50,75,75,50,25,86,43,33
debutant_0015,2,True,positioning_synthetic_v1,debutant,25,20,5,100,25,0,25,25,50,43,29,0
debutant_0015,3,True,positioning_synthetic_v1,debutant,50,20,10,100,50,100,50,25,25,100,14,33
debutant_0015,4,True,positioning_synthetic_v1,debutant,55,20,11,100,25,50,50,75,75,71,57,33
debutant_0016,1,True,positioning_synthetic_v1,debutant,20,20,4,100,50,25,0,0,25,29,14,17
debutant_0016,2,True,positioning_synthetic_v1,debutant,10,20,2,100,0,0,25,0,25,29,0,0
debutant_0016,3,True,positioning_synthetic_v1,debutant,25,20,5,100,25,0,0,50,50,29,29,17
debutant_0016,4,True,positioning_synthetic_v1,debutant,25,20,5,100,0,0,50,50,25,57,0,17
debutant_0017,1,True,positioning_synthetic_v1,debutant,20,20,4,100,25,0,0,0,75,14,0,50
debutant_0017,2,True,positioning_synthetic_v1,debutant,10,20,2,100,0,0,25,25,0,29,0,0
debutant_0017,3,True,positioning_synthetic_v1,debutant,15,20,3,100,25,0,25,25,0,43,0,0
debutant_0017,4,True,positioning_synthetic_v1,debutant,35,20,7,100,25,50,25,25,50,57,29,17
debutant_0018,1,True,positioning_synthetic_v1,debutant,40,20,8,100,50,25,25,75,25,57,29,33
debutant_0018,2,True,positioning_synthetic_v1,debutant,30,20,6,100,25,25,25,0,75,57,14,17
debutant_0018,3,True,positioning_synthetic_v1,debutant,35,20,7,100,25,25,25,75,25,29,57,17
debutant_0018,4,True,positioning_synthetic_v1,debutant,20,20,4,100,0,0,25,75,0,29,14,17
debutant_0019,1,True,positioning_synthetic_v1,debutant,30,20,6,100,0,50,50,0,50,29,29,33
debutant_0019,2,True,positioning_synthetic_v1,debutant,40,20,8,100,50,25,75,25,25,43,43,33
debutant_0019,3,True,positioning_synthetic_v1,debutant,45,20,9,100,25,50,25,75,50,57,43,33
debutant_0019,4,True,positioning_synthetic_v1,debutant,25,20,5,100,50,25,0,25,25,43,14,17
debutant_0020,1,True,positioning_synthetic_v1,debutant,30,20,6,100,0,75,50,25,0,14,43,33
debutant_0020,2,True,positioning_synthetic_v1,debutant,15,20,3,100,0,25,25,0,25,14,29,0
debutant_0020,3,True,positioning_synthetic_v1,debutant,20,20,4,100,25,25,25,0,25,43,14,0
debutant_0020,4,True,positioning_synthetic_v1,debutant,40,20,8,100,25,75,50,0,50,57,29,33
debutant_0021,1,True,positioning_synthetic_v1,debutant,30,20,6,100,25,25,25,25,50,43,14,33
debutant_0021,2,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,50,25,0,14,29,33
debutant_0021,3,True,positioning_synthetic_v1,debutant,25,20,5,100,25,0,0,75,25,57,14,0
debutant_0021,4,True,positioning_synthetic_v1,debutant,25,20,5,100,25,0,0,50,50,29,43,0
debutant_0022,1,True,positioning_synthetic_v1,debutant,30,20,6,100,25,25,25,75,0,43,14,33
debutant_0022,2,True,positioning_synthetic_v1,debutant,20,20,4,100,25,0,75,0,0,43,14,0
debutant_0022,3,True,positioning_synthetic_v1,debutant,35,20,7,100,0,50,50,25,50,57,43,0
debutant_0022,4,True,positioning_synthetic_v1,debutant,40,20,8,100,25,25,50,50,50,43,29,50
debutant_0023,1,True,positioning_synthetic_v1,debutant,15,20,3,100,0,0,50,0,25,29,14,0
debutant_0023,2,True,positioning_synthetic_v1,debutant,10,20,2,100,0,25,25,0,0,29,0,0
debutant_0023,3,True,positioning_synthetic_v1,debutant,35,20,7,100,50,25,25,50,25,100,0,0
debutant_0023,4,True,positioning_synthetic_v1,debutant,25,20,5,100,25,0,0,50,50,29,29,17
debutant_0024,1,True,positioning_synthetic_v1,debutant,35,20,7,100,50,50,25,50,0,43,43,17
debutant_0024,2,True,positioning_synthetic_v1,debutant,10,20,2,100,25,0,0,0,25,14,14,0
debutant_0024,3,True,positioning_synthetic_v1,debutant,5,20,1,100,0,0,25,0,0,14,0,0
debutant_0024,4,True,positioning_synthetic_v1,debutant,5,20,1,100,0,0,25,0,0,0,0,17
debutant_0025,1,True,positioning_synthetic_v1,debutant,35,20,7,100,25,25,50,75,0,71,29,0
debutant_0025,2,True,positioning_synthetic_v1,debutant,40,20,8,100,25,25,0,50,100,43,57,17
debutant_0025,3,True,positioning_synthetic_v1,debutant,10,20,2,100,0,0,25,25,0,14,0,17
debutant_0025,4,True,positioning_synthetic_v1,debutant,30,20,6,100,0,0,50,50,50,57,0,33
debutant_0026,1,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,50,25,0,43,14,17
debutant_0026,2,True,positioning_synthetic_v1,debutant,30,20,6,100,25,75,25,0,25,57,29,0
debutant_0026,3,True,positioning_synthetic_v1,debutant,45,20,9,100,25,75,50,75,0,71,14,50
debutant_0026,4,True,positioning_synthetic_v1,debutant,25,20,5,100,25,50,25,25,0,43,14,17
debutant_0027,1,True,positioning_synthetic_v1,debutant,15,20,3,100,0,25,25,0,25,29,14,0
debutant_0027,2,True,positioning_synthetic_v1,debutant,15,20,3,100,25,25,0,25,0,43,0,0
debutant_0027,3,True,positioning_synthetic_v1,debutant,20,20,4,100,50,0,0,25,25,57,0,0
debutant_0027,4,True,positioning_synthetic_v1,debutant,15,20,3,100,25,0,25,0,25,14,29,0
debutant_0028,1,True,positioning_synthetic_v1,debutant,20,20,4,100,50,0,25,25,0,43,14,0
debutant_0028,2,True,positioning_synthetic_v1,debutant,30,20,6,100,50,0,25,50,25,57,14,17
debutant_0028,3,True,positioning_synthetic_v1,debutant,20,20,4,100,0,75,0,25,0,29,29,0
debutant_0028,4,True,positioning_synthetic_v1,debutant,40,20,8,100,50,75,25,50,0,43,57,17
debutant_0029,1,True,positioning_synthetic_v1,debutant,20,20,4,100,25,25,25,25,0,14,29,17
debutant_0029,2,True,positioning_synthetic_v1,debutant,15,20,3,100,25,0,25,25,0,29,14,0
debutant_0029,3,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,25,0,50,14,29,33
debutant_0029,4,True,positioning_synthetic_v1,debutant,20,20,4,100,0,50,0,25,25,29,14,17
debutant_0030,1,True,positioning_synthetic_v1,debutant,30,20,6,100,0,25,50,75,0,57,29,0
debutant_0030,2,True,positioning_synthetic_v1,debutant,10,20,2,100,0,0,0,25,25,0,0,33
debutant_0030,3,True,positioning_synthetic_v1,debutant,45,20,9,100,25,75,50,75,0,43,43,50
debutant_0030,4,True,positioning_synthetic_v1,debutant,40,20,8,100,25,75,0,50,50,43,43,33
debutant_0031,1,True,positioning_synthetic_v1,debutant,20,20,4,100,0,25,25,25,25,29,14,17
debutant_0031,2,True,positioning_synthetic_v1,debutant,10,20,2,100,25,0,0,0,25,29,0,0
debutant_0031,3,True,positioning_synthetic_v1,debutant,30,20,6,100,25,50,25,25,25,71,14,0
debutant_0031,4,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,50,0,25,57,14,0
debutant_0032,1,True,positioning_synthetic_v1,debutant,40,20,8,100,50,25,50,25,50,71,43,0
debutant_0032,2,True,positioning_synthetic_v1,debutant,30,20,6,100,50,0,25,25,50,71,14,0
debutant_0032,3,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,25,25,25,43,14,17
debutant_0032,4,True,positioning_synthetic_v1,debutant,15,20,3,100,0,0,25,50,0,14,29,0
debutant_0033,1,True,positioning_synthetic_v1,debutant,25,20,5,100,75,0,0,25,25,14,29,33
debutant_0033,2,True,positioning_synthetic_v1,debutant,40,20,8,100,25,50,25,50,50,86,29,0
debutant_0033,3,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,25,25,25,29,43,0
debutant_0033,4,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,25,0,50,57,14,0
debutant_0034,1,True,positioning_synthetic_v1,debutant,55,20,11,100,75,25,50,50,75,86,71,0
debutant_0034,2,True,positioning_synthetic_v1,debutant,20,20,4,100,0,50,25,0,25,29,14,17
debutant_0034,3,True,positioning_synthetic_v1,debutant,40,20,8,100,50,25,75,50,0,43,43,33
debutant_0034,4,True,positioning_synthetic_v1,debutant,50,20,10,100,75,50,25,50,50,71,43,33
debutant_0035,1,True,positioning_synthetic_v1,debutant,55,20,11,100,50,50,50,50,75,100,43,17
debutant_0035,2,True,positioning_synthetic_v1,debutant,30,20,6,100,25,25,25,50,25,71,0,17
debutant_0035,3,True,positioning_synthetic_v1,debutant,5,20,1,100,25,0,0,0,0,0,0,17
debutant_0035,4,True,positioning_synthetic_v1,debutant,20,20,4,100,0,0,25,50,25,43,14,0
debutant_0036,1,True,positioning_synthetic_v1,debutant,35,20,7,100,25,50,25,25,50,57,43,0
debutant_0036,2,True,positioning_synthetic_v1,debutant,35,20,7,100,50,25,25,25,50,14,57,33
debutant_0036,3,True,positioning_synthetic_v1,debutant,20,20,4,100,25,25,25,25,0,29,29,0
debutant_0036,4,True,positioning_synthetic_v1,debutant,35,20,7,100,50,50,25,50,0,57,14,33
debutant_0037,1,True,positioning_synthetic_v1,debutant,40,20,8,100,50,0,50,50,50,43,57,17
debutant_0037,2,True,positioning_synthetic_v1,debutant,20,20,4,100,25,0,0,25,50,43,0,17
debutant_0037,3,True,positioning_synthetic_v1,debutant,30,20,6,100,0,25,0,100,25,29,43,17
debutant_0037,4,True,positioning_synthetic_v1,debutant,15,20,3,100,25,0,0,25,25,14,29,0
debutant_0038,1,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,25,25,25,43,14,17
debutant_0038,2,True,positioning_synthetic_v1,debutant,25,20,5,100,25,0,25,25,50,43,29,0
debutant_0038,3,True,positioning_synthetic_v1,debutant,15,20,3,100,0,50,0,0,25,14,14,17
debutant_0038,4,True,positioning_synthetic_v1,debutant,25,20,5,100,25,0,75,25,0,29,29,17
debutant_0039,1,True,positioning_synthetic_v1,debutant,15,20,3,100,0,25,0,50,0,29,14,0
debutant_0039,2,True,positioning_synthetic_v1,debutant,25,20,5,100,0,75,25,25,0,29,14,33
debutant_0039,3,True,positioning_synthetic_v1,debutant,15,20,3,100,0,0,25,0,50,14,14,17
debutant_0039,4,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,25,50,0,14,29,33
debutant_0040,1,True,positioning_synthetic_v1,debutant,15,20,3,100,0,25,25,0,25,29,14,0
debutant_0040,2,True,positioning_synthetic_v1,debutant,20,20,4,100,0,25,0,25,50,43,14,0
debutant_0040,3,True,positioning_synthetic_v1,debutant,25,20,5,100,50,25,25,0,25,57,0,17
debutant_0040,4,True,positioning_synthetic_v1,debutant,15,20,3,100,0,50,0,0,25,14,14,17
debutant_0041,1,True,positioning_synthetic_v1,debutant,20,20,4,100,25,25,25,0,25,43,14,0
debutant_0041,2,True,positioning_synthetic_v1,debutant,20,20,4,100,25,25,25,0,25,14,43,0
debutant_0041,3,True,positioning_synthetic_v1,debutant,10,20,2,100,0,25,25,0,0,29,0,0
debutant_0041,4,True,positioning_synthetic_v1,debutant,25,20,5,100,0,0,75,0,50,29,14,33
debutant_0042,1,True,positioning_synthetic_v1,debutant,25,20,5,100,25,50,0,25,25,43,29,0
debutant_0042,2,True,positioning_synthetic_v1,debutant,30,20,6,100,25,0,0,50,75,43,29,17
debutant_0042,3,True,positioning_synthetic_v1,debutant,15,20,3,100,25,25,0,25,0,14,29,0
debutant_0042,4,True,positioning_synthetic_v1,debutant,30,20,6,100,0,25,50,50,25,57,14,17
debutant_0043,1,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,25,25,25,43,0,33
debutant_0043,2,True,positioning_synthetic_v1,debutant,50,20,10,100,50,75,50,25,50,71,43,33
debutant_0043,3,True,positioning_synthetic_v1,debutant,40,20,8,100,75,25,75,0,25,43,57,17
debutant_0043,4,True,positioning_synthetic_v1,debutant,30,20,6,100,25,25,25,50,25,29,14,50
debutant_0044,1,True,positioning_synthetic_v1,debutant,35,20,7,100,0,100,25,50,0,43,29,33
debutant_0044,2,True,positioning_synthetic_v1,debutant,15,20,3,100,0,50,0,0,25,14,14,17
debutant_0044,3,True,positioning_synthetic_v1,debutant,15,20,3,100,50,25,0,0,0,29,0,17
debutant_0044,4,True,positioning_synthetic_v1,debutant,10,20,2,100,25,0,0,25,0,14,0,17
debutant_0045,1,True,positioning_synthetic_v1,debutant,50,20,10,100,75,75,25,25,50,57,57,33
debutant_0045,2,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,25,25,25,29,43,0
debutant_0045,3,True,positioning_synthetic_v1,debutant,35,20,7,100,25,25,25,50,50,86,14,0
debutant_0045,4,True,positioning_synthetic_v1,debutant,40,20,8,100,25,75,25,25,50,43,43,33
debutant_0046,1,True,positioning_synthetic_v1,debutant,40,20,8,100,50,0,50,75,25,43,43,33
debutant_0046,2,True,positioning_synthetic_v1,debutant,25,20,5,100,25,0,0,75,25,29,29,17
debutant_0046,3,True,positioning_synthetic_v1,debutant,30,20,6,100,0,25,25,25,75,43,43,0
debutant_0046,4,True,positioning_synthetic_v1,debutant,20,20,4,100,0,0,50,50,0,14,14,33
debutant_0047,1,True,positioning_synthetic_v1,debutant,20,20,4,100,50,0,25,25,0,29,14,17
debutant_0047,2,True,positioning_synthetic_v1,debutant,30,20,6,100,50,50,25,25,0,57,14,17
debutant_0047,3,True,positioning_synthetic_v1,debutant,35,20,7,100,50,50,50,25,0,71,14,17
debutant_0047,4,True,positioning_synthetic_v1,debutant,15,20,3,100,25,0,25,25,0,14,14,17
debutant_0048,1,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,0,50,25,43,14,17
debutant_0048,2,True,positioning_synthetic_v1,debutant,35,20,7,100,25,50,50,25,25,43,43,17
debutant_0048,3,True,positioning_synthetic_v1,debutant,30,20,6,100,50,25,50,0,25,57,29,0
debutant_0048,4,True,positioning_synthetic_v1,debutant,45,20,9,100,25,25,75,25,75,71,29,33
debutant_0049,1,True,positioning_synthetic_v1,debutant,35,20,7,100,25,0,75,50,25,29,57,17
debutant_0049,2,True,positioning_synthetic_v1,debutant,40,20,8,100,50,25,25,50,50,71,43,0
debutant_0049,3,True,positioning_synthetic_v1,debutant,50,20,10,100,25,50,50,100,25,71,43,33
debutant_0049,4,True,positioning_synthetic_v1,debutant,40,20,8,100,0,25,50,50,75,43,57,17
debutant_0050,1,True,positioning_synthetic_v1,debutant,30,20,6,100,50,50,25,25,0,57,14,17
debutant_0050,2,True,positioning_synthetic_v1,debutant,40,20,8,100,50,0,25,100,25,43,29,50
debutant_0050,3,True,positioning_synthetic_v1,debutant,40,20,8,100,50,25,50,0,75,57,43,17
debutant_0050,4,True,positioning_synthetic_v1,debutant,30,20,6,100,25,50,25,25,25,57,29,0
debutant_0051,1,True,positioning_synthetic_v1,debutant,20,20,4,100,0,25,25,0,50,43,0,17
debutant_0051,2,True,positioning_synthetic_v1,debutant,15,20,3,100,25,25,0,25,0,14,29,0
debutant_0051,3,True,positioning_synthetic_v1,debutant,0,20,0,100,0,0,0,0,0,0,0,0
debutant_0051,4,True,positioning_synthetic_v1,debutant,25,20,5,100,25,0,0,50,50,43,29,0
debutant_0052,1,True,positioning_synthetic_v1,debutant,35,20,7,100,0,0,75,50,50,71,29,0
debutant_0052,2,True,positioning_synthetic_v1,debutant,35,20,7,100,50,50,25,25,25,57,29,17
debutant_0052,3,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,25,25,25,43,0,33
debutant_0052,4,True,positioning_synthetic_v1,debutant,30,20,6,100,50,25,25,25,25,57,29,0
debutant_0053,1,True,positioning_synthetic_v1,debutant,55,20,11,100,50,50,50,75,50,100,14,50
debutant_0053,2,True,positioning_synthetic_v1,debutant,35,20,7,100,25,50,75,0,25,57,29,17
debutant_0053,3,True,positioning_synthetic_v1,debutant,45,20,9,100,75,50,25,50,25,57,57,17
debutant_0053,4,True,positioning_synthetic_v1,debutant,45,20,9,100,25,25,25,50,100,71,43,17
debutant_0054,1,True,positioning_synthetic_v1,debutant,20,20,4,100,25,25,25,0,25,14,43,0
debutant_0054,2,True,positioning_synthetic_v1,debutant,10,20,2,100,0,25,0,25,0,14,14,0
debutant_0054,3,True,positioning_synthetic_v1,debutant,10,20,2,100,0,25,0,25,0,14,0,17
debutant_0054,4,True,positioning_synthetic_v1,debutant,25,20,5,100,25,50,0,25,25,57,0,17
debutant_0055,1,True,positioning_synthetic_v1,debutant,10,20,2,100,0,0,0,25,25,14,0,17
debutant_0055,2,True,positioning_synthetic_v1,debutant,20,20,4,100,25,25,0,25,25,43,14,0
debutant_0055,3,True,positioning_synthetic_v1,debutant,25,20,5,100,0,25,0,50,50,43,14,17
debutant_0055,4,True,positioning_synthetic_v1,debutant,20,20,4,100,25,0,0,50,25,43,14,0
debutant_0056,1,True,positioning_synthetic_v1,debutant,35,20,7,100,50,0,75,25,25,57,29,17
debutant_0056,2,True,positioning_synthetic_v1,debutant,25,20,5,100,75,0,50,0,0,29,29,17
debutant_0056,3,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,25,0,50,43,14,17
debutant_0056,4,True,positioning_synthetic_v1,debutant,10,20,2,100,25,0,0,0,25,29,0,0
debutant_0057,1,True,positioning_synthetic_v1,debutant,40,20,8,100,25,25,75,50,25,57,57,0
debutant_0057,2,True,positioning_synthetic_v1,debutant,40,20,8,100,50,50,50,0,50,86,14,17
debutant_0057,3,True,positioning_synthetic_v1,debutant,40,20,8,100,25,0,50,75,50,43,71,0
debutant_0057,4,True,positioning_synthetic_v1,debutant,30,20,6,100,50,0,75,0,25,57,0,33
debutant_0058,1,True,positioning_synthetic_v1,debutant,20,20,4,100,25,25,25,0,25,43,0,17
debutant_0058,2,True,positioning_synthetic_v1,debutant,20,20,4,100,50,0,25,0,25,29,14,17
debutant_0058,3,True,positioning_synthetic_v1,debutant,35,20,7,100,25,100,50,0,0,57,29,17
debutant_0058,4,True,positioning_synthetic_v1,debutant,30,20,6,100,25,25,50,0,50,43,43,0
debutant_0059,1,True,positioning_synthetic_v1,debutant,25,20,5,100,75,0,25,25,0,29,14,33
debutant_0059,2,True,positioning_synthetic_v1,debutant,45,20,9,100,100,25,25,50,25,57,29,50
debutant_0059,3,True,positioning_synthetic_v1,debutant,35,20,7,100,50,50,50,0,25,57,14,33
debutant_0059,4,True,positioning_synthetic_v1,debutant,30,20,6,100,25,25,25,25,50,29,43,17
debutant_0060,1,True,positioning_synthetic_v1,debutant,15,20,3,100,0,50,25,0,0,29,14,0
debutant_0060,2,True,positioning_synthetic_v1,debutant,20,20,4,100,0,25,50,0,25,43,14,0
debutant_0060,3,True,positioning_synthetic_v1,debutant,45,20,9,100,25,25,25,75,75,57,43,33
debutant_0060,4,True,positioning_synthetic_v1,debutant,25,20,5,100,50,25,25,0,25,43,14,17
debutant_0061,1,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,0,50,25,57,14,0
debutant_0061,2,True,positioning_synthetic_v1,debutant,25,20,5,100,0,25,25,25,50,29,29,17
debutant_0061,3,True,positioning_synthetic_v1,debutant,25,20,5,100,0,25,25,50,25,57,14,0
debutant_0061,4,True,positioning_synthetic_v1,debutant,35,20,7,100,25,75,0,25,50,57,43,0
debutant_0062,1,True,positioning_synthetic_v1,debutant,25,20,5,100,50,25,50,0,0,43,0,33
debutant_0062,2,True,positioning_synthetic_v1,debutant,35,20,7,100,25,25,0,75,50,71,29,0
debutant_0062,3,True,positioning_synthetic_v1,debutant,30,20,6,100,0,50,25,50,25,43,29,17
debutant_0062,4,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,25,25,25,57,0,17
debutant_0063,1,True,positioning_synthetic_v1,debutant,25,20,5,100,25,0,50,25,25,29,0,50
debutant_0063,2,True,positioning_synthetic_v1,debutant,35,20,7,100,25,50,50,25,25,71,14,17
debutant_0063,3,True,positioning_synthetic_v1,debutant,15,20,3,100,0,0,50,0,25,29,0,17
debutant_0063,4,True,positioning_synthetic_v1,debutant,30,20,6,100,25,25,50,25,25,43,29,17
debutant_0064,1,True,positioning_synthetic_v1,debutant,20,20,4,100,50,0,25,0,25,29,14,17
debutant_0064,2,True,positioning_synthetic_v1,debutant,15,20,3,100,0,0,0,25,50,29,14,0
debutant_0064,3,True,positioning_synthetic_v1,debutant,10,20,2,100,0,25,25,0,0,14,14,0
debutant_0064,4,True,positioning_synthetic_v1,debutant,30,20,6,100,25,25,0,50,50,57,14,17
debutant_0065,1,True,positioning_synthetic_v1,debutant,35,20,7,100,0,25,100,25,25,43,43,17
debutant_0065,2,True,positioning_synthetic_v1,debutant,25,20,5,100,25,25,0,75,0,29,29,17
debutant_0065,3,True,positioning_synthetic_v1,debutant,45,20,9,100,25,25,50,50,75,57,57,17
debutant_0065,4,True,positioning_synthetic_v1,debutant,25,20,5,100,0,50,0,75,0,43,0,33
debutant_0066,1,True,positioning_synthetic_v1,debutant,30,20,6,100,25,25,25,50,25,57,29,0
debutant_0066,2,True,positioning_synthetic_v1,debutant,20,20,4,100,0,25,0,50,25,43,14,0
debutant_0066,3,True,positioning_synthetic_v1,debutant,25,20,5,100,0,25,25,50,25,57,14,0
debutant_0066,4,True,positioning_synthetic_v1,debutant,25,20,5,100,0,50,0,50,25,29,29,17
debutant_0067,1,True,positioning_synthetic_v1,debutant,25,20,5,100,50,0,25,0,50,14,43,17
debutant_0067,2,True,positioning_synthetic_v1,debutant,40,20,8,100,50,25,25,0,100,43,29,50
debutant_0067,3,True,positioning_synthetic_v1,debutant,20,20,4,100,25,0,0,25,50,14,14,33
debutant_0067,4,True,positioning_synthetic_v1,debutant,20,20,4,100,25,50,0,0,25,57,0,0
debutant_0068,1,True,positioning_synthetic_v1,debutant,5,20,1,100,0,0,25,0,0,0,14,0
